trained model checkpoints/epoch_34_listener is loaded
trained model checkpoints/epoch_34_speller is loaded
[1/328][19/470] prediction done | time : 0.03s
[1/328][20/470] prediction done | time : 0.03s
[1/328][21/470] prediction done | time : 0.03s
[1/328][22/470] prediction done | time : 0.03s
[1/328][23/470] prediction done | time : 0.03s
[1/328][24/470] prediction done | time : 0.03s
[1/328][25/470] prediction done | time : 0.04s
[1/328][26/470] prediction done | time : 0.04s
[1/328][27/470] prediction done | time : 0.04s
[1/328][28/470] prediction done | time : 0.04s
[1/328][29/470] prediction done | time : 0.04s
[1/328][30/470] prediction done | time : 0.04s
[1/328][31/470] prediction done | time : 0.04s
[1/328][32/470] prediction done | time : 0.04s
[1/328][33/470] prediction done | time : 0.05s
[1/328][34/470] prediction done | time : 0.05s
[1/328][35/470] prediction done | time : 0.05s
[1/328][36/470] prediction done | time : 0.05s
[1/328][37/470] prediction done | time : 0.05s
[1/328][38/470] prediction done | time : 0.05s
[1/328][39/470] prediction done | time : 0.06s
[1/328][40/470] prediction done | time : 0.06s
[1/328][41/470] prediction done | time : 0.06s
[1/328][42/470] prediction done | time : 0.06s
[1/328][43/470] prediction done | time : 0.06s
[1/328][44/470] prediction done | time : 0.06s
